#MJD,cps,e_cps
60373.00328,1.019e+00,1.645e-01
60373.06694,6.597e-01,1.432e-01
60373.06809,7.944e-01,1.558e-01
60373.12828,5.663e-01,1.448e-01
60373.12944,8.214e-01,1.522e-01
60373.13059,4.338e-01,1.336e-01
60373.13175,5.102e-01,1.350e-01
60373.19888,3.542e+00,2.243e-01
60373.20004,3.644e+00,2.298e-01
60373.20120,3.636e+00,2.347e-01
60373.20235,3.966e+00,2.487e-01
60373.25675,8.863e+00,3.623e-01
60373.25791,9.442e+00,3.337e-01
60373.25907,1.033e+01,3.472e-01
60373.26022,1.062e+01,3.515e-01
60373.26138,1.012e+01,3.528e-01
60373.32157,9.016e+00,3.319e-01
60373.32272,8.764e+00,3.215e-01
60373.32388,9.209e+00,3.289e-01
60373.32504,8.591e+00,3.280e-01
60373.32620,8.575e+00,3.421e-01
60373.39217,8.125e+00,3.100e-01
60373.39333,7.872e+00,3.063e-01
60373.39448,7.910e+00,3.075e-01
60373.39564,7.071e+00,2.943e-01
60373.39680,7.833e+00,3.341e-01
60373.45698,3.632e+00,2.394e-01
60373.45814,3.380e+00,2.167e-01
60373.45930,3.785e+00,2.263e-01
60373.46045,3.227e+00,2.148e-01
60373.46161,3.405e+00,2.375e-01
60373.52180,1.545e+00,1.658e-01
60373.52295,1.457e+00,1.639e-01
60373.52411,1.240e+00,1.562e-01
60373.52527,1.212e+00,1.579e-01
60373.65143,3.178e-01,1.204e-01
60373.65258,2.647e-01,1.186e-01
60373.65374,1.792e-01,1.182e-01
60373.65490,1.581e-01,1.199e-01
60373.71508,1.481e-01,1.199e-01
60373.71624,2.141e-01,1.157e-01
60373.71740,1.446e-01,1.159e-01
60373.71856,1.749e-01,1.200e-01
60373.71971,1.675e-01,1.262e-01
60373.78106,1.798e-01,1.156e-01
60373.78221,1.763e-01,1.194e-01
60373.78337,1.784e-01,1.210e-01
60373.84471,2.282e-01,1.249e-01
60373.84587,1.761e-01,1.172e-01
60373.84703,1.128e-01,1.147e-01
60373.84819,6.203e-02,1.169e-01
60373.90721,3.548e-01,1.354e-01
60373.90837,2.391e-01,1.244e-01
60373.90953,2.349e-01,1.214e-01
60373.91069,1.654e-01,1.168e-01
60373.91184,1.747e-01,1.201e-01
60373.91300,1.464e-01,1.216e-01
60373.97087,1.643e-01,1.292e-01
60373.97203,1.538e-01,1.237e-01
60373.97319,1.994e-01,1.219e-01
60373.97434,1.862e-01,1.177e-01
60373.97550,1.839e-01,1.187e-01
60373.97666,2.522e-01,1.237e-01
60373.97782,1.649e-01,1.272e-01
60374.03461,1.522e-01,1.215e-01
60374.03577,2.621e-01,1.244e-01
60374.09711,9.791e-02,1.215e-01
60374.09827,2.534e-01,1.232e-01
60374.09942,1.380e-01,1.187e-01
60374.10058,1.450e-01,1.207e-01
60374.16077,1.637e-01,1.254e-01
60374.16192,3.933e-01,1.315e-01
60374.16308,2.290e-01,1.230e-01
60374.16424,2.749e-01,1.238e-01
60374.16540,1.351e-01,1.206e-01
60374.29040,9.923e-02,1.153e-01
60374.29155,7.031e-02,1.132e-01
60374.29271,1.637e-01,1.175e-01
60374.29387,3.365e-02,1.091e-01
60374.29503,1.635e-01,1.205e-01
60374.35521,1.034e-01,1.138e-01
60374.35637,1.355e-01,1.148e-01
60374.35753,1.682e-01,1.156e-01
60374.35868,2.728e-01,1.200e-01
60374.42350,6.129e-02,1.099e-01
60374.42466,1.328e-01,1.111e-01
60374.42581,6.426e-02,1.108e-01
60374.42697,1.774e-01,1.166e-01
60374.42813,1.253e-01,1.193e-01
60374.42929,1.869e-01,1.272e-01
60374.48716,6.992e-02,1.124e-01
60374.48831,6.289e-02,1.098e-01
60374.48947,1.202e-01,1.115e-01
60374.49063,1.937e-01,1.148e-01
60374.49179,1.001e-01,1.149e-01
60374.55197,6.789e-02,1.095e-01
60374.55313,4.244e-02,1.052e-01
60374.55429,3.116e-02,1.051e-01
60374.55544,1.153e-01,1.087e-01
60374.55660,1.920e-01,1.212e-01
60374.61910,1.343e-01,1.104e-01
60374.62026,1.213e-01,1.111e-01
60374.62142,1.629e-01,1.179e-01
60374.62257,1.740e-01,1.229e-01
60374.68392,3.496e-02,1.085e-01
60374.68507,1.278e-01,1.132e-01
60374.68623,3.750e-02,1.125e-01
60374.68739,1.136e-01,1.244e-01
60374.74873,1.703e-01,1.147e-01
60374.74989,2.105e-01,1.172e-01
60374.75104,2.056e-01,1.241e-01
60374.75220,-4.727e-02,1.200e-01
60374.81239,1.149e-01,1.138e-01
60374.81354,1.471e-02,1.073e-01
60374.81470,2.448e-01,1.220e-01
60374.81586,1.764e-02,1.163e-01
60374.81702,6.960e-02,1.280e-01
60374.87720,9.336e-02,1.132e-01
60374.87836,7.611e-02,1.107e-01
60374.87952,1.744e-01,1.179e-01
60374.88067,3.595e-02,1.184e-01
60374.94202,5.626e-02,1.093e-01
60374.94317,2.061e-01,1.190e-01
60374.94433,1.378e-01,1.188e-01
60374.94549,1.301e-01,1.222e-01
60375.00408,1.716e-01,1.182e-01
60375.00523,1.520e-01,1.176e-01
60375.00639,6.772e-02,1.144e-01
60375.00755,9.571e-02,1.172e-01
60375.00871,1.712e-01,1.286e-01
60375.06889,3.337e+00,2.188e-01
60375.07005,3.623e+00,2.269e-01
60375.07121,3.718e+00,2.312e-01
60375.07236,4.130e+00,2.442e-01
60375.13371,5.885e+00,2.727e-01
60375.13486,6.629e+00,2.897e-01
60375.13602,7.838e+00,3.144e-01
60375.13718,7.700e+00,3.172e-01
60375.19852,5.597e+00,2.665e-01
60375.19968,5.233e+00,2.616e-01
60375.20084,4.953e+00,2.607e-01
60375.20199,5.378e+00,2.771e-01
60375.20315,4.718e+00,2.750e-01
60375.20431,4.421e+00,3.034e-01
60375.26218,2.796e+00,2.222e-01
60375.26334,3.078e+00,2.095e-01
60375.26449,3.048e+00,2.112e-01
60375.26565,3.022e+00,2.148e-01
60375.26681,3.165e+00,2.251e-01
60375.26797,2.928e+00,2.318e-01
60375.33047,1.723e+00,1.770e-01
60375.33162,2.006e+00,1.911e-01
60375.33278,1.632e+00,1.915e-01
60375.39412,6.775e-01,1.391e-01
60375.39528,6.635e-01,1.419e-01
60375.39644,7.349e-01,1.492e-01
60375.39760,7.887e-01,1.602e-01
60375.45894,1.699e-01,1.169e-01
60375.46010,3.189e-01,1.246e-01
60375.46125,2.375e-01,1.251e-01
60375.46241,3.389e-01,1.419e-01
60375.52375,2.395e-01,1.195e-01
60375.52491,2.160e-01,1.197e-01
60375.52607,1.538e-01,1.218e-01
60375.58857,1.673e-01,1.160e-01
60375.58973,1.624e-01,1.181e-01
60375.59088,-2.555e-02,1.204e-01
60375.65223,1.247e-01,1.132e-01
60375.65338,1.449e-01,1.158e-01
60375.65454,1.193e-01,1.219e-01
60375.65570,1.356e-01,1.297e-01
60375.71704,1.891e-01,1.165e-01
60375.71820,9.723e-02,1.165e-01
60375.71936,8.067e-02,1.239e-01
60375.72051,1.076e-01,1.360e-01
60375.78186,7.918e-02,1.144e-01
60375.78301,-1.314e-02,1.147e-01
60375.78417,1.730e-02,1.216e-01
60375.83973,1.159e-01,1.190e-01
60375.84088,1.616e-01,1.184e-01
60375.84204,1.388e-01,1.184e-01
